Experience,Training_Hours,Previous_Projects,Salary
0,15,0,32
1,25,1,38
2,40,2,45
2,30,1,42
3,55,3,52
3,45,2,49
4,65,4,58
5,80,5,67
5,70,4,64
6,95,7,75
7,110,8,83
7,100,7,80
8,120,9,89
9,140,11,97
10,155,12,105
10,145,10,102
11,165,13,110
12,180,15,118
13,190,16,126
14,200,17,133
15,195,16,128
4,60,5,61
6,85,6,72
8,115,10,87
9,135,12,95
11,160,14,112
12,175,14,120
13,185,15,124
1,20,0,35
3,50,3,55
5,75,6,69
7,105,9,85
9,130,11,93
11,170,13,115
14,198,18,138
2,35,2,47
4,58,3,60
6,90,8,78
8,125,11,92
10,150,13,108
12,182,16,122
0,18,1,34
1,28,2,40
3,48,4,56
5,72,5,66
7,108,10,86
9,138,13,99
11,168,15,117
13,192,17,129
15,200,19,140
6,88,7,76
